21,1
22,1
23,1
19,2
20,2
21,2
22,2
23,2
24,2
19.3
20,3
23,3
24,3
18,4
19,4
24,4
5,5
18,5
19,5
24,5
3,6
4,6
5,6
6,6
17,6
18,6
21,6
24,6
25,6
3,7
4,7
5,7
6,7
7,7
17,7
18,7
20,7
21,7
22,7
25,7
3,8
7,8
8,8
17,8
18,8
19,8
20,8
22,8
23,8
25,8
26,8
2,9
3,9
8,9
9,9
18,9
19,9
22,9
23,9
26,9
30,9
31,9
32,9
33,9
2,10
3,10
5,10
6,10
8,10
9,10
23,10
26,10
27,10
28,10
29,10
30,10
31,10
32,10
33,10
34,10
35,10
36,10
1,11
2,11
3,11
5,11
6,11
9,11
10,11
21,11
22,11
23,11
24,11
26,11
27,11
28,11
29,11
34,11
35,11
36,11
37,11
1,12
2,12
4,12
5,12
6,12
7,12
10,12
11,12
17,12
18,12
19,12
20,12
21,12
22,12
27,12
37,12
38,12
39,12
1,13
2,13
3,13
4,13
5,13
7,13
8,13
11,13
12,13
15,13
16,13
17,13
18,13
38,13
39,13
40,13
1,14
2,14
3,14
4,14
8,14
9,14
11,14
12,14
13,14
14,14
15,14
16,14
39,14
40,14
41,14
2,15
3,15
4,15
9,15
10,15
11,15
12,15
13,15
41,15
42,15
9,16
10,16
11,16
12,16
42,16
43,16
45,16
46,16
47,16
48,16
10,17
11,17
42,17
43,17
44,17
45,17
46,17
47,17
48,17
49,17
8,18
9,18
10,18
42,18
43,18
49,18
7,19
8,19
9,19
42,19
43,19
48,19
49,19
7,20
8,20
42,20
43,20
48,20
49,20
6,21
7,21
42,21
43,21
46,21
47,21
48,21
49,21
6,22
7,22
17,22
18,22
19,22
42,22
43,22
46,22
47,22
49,22
5,23
6,23
16,23
17,23
18,23
19,23
20,23
21,23
22,23
23,23
41,23
42,23
43,23
49,23
5,24
6,24
14,24
15,24
16,24
17,24
18,24
19,24
20,24
21,24
22,24
23,24
24,42
40,24
41,24
42,24
48,24
49,24
5,25
14,25
15,25
23,25
24,25
39,25
40,25
41,25
45,25
46,25
47,25
48,25
49,25
4,26
5,26
15,26
16,26
17,26
